subject,GlueDotDiameter,PupilPupilDistance,MouthcornerMouthcornerDistance,LeftPupilLeftMouthcornerDistance,RightPupilRightMouthcornerDistance,Comment
1,.04328,.33588,.27647,.36729,.36716,
2,.05097,.3914,.31924,.4273,.42332,
